index,hight,width,estimate
0,8,1,1.728038873907058e+59
1,8,1,3.567112979417103e+54
2,5,2,1.8328301807697277e+44
3,7,2,1.2441361460192976e+46
4,7,2,3.567112979417103e+54
5,4,2,6.524876440013017e+43
6,6,2,7.999473580980912e+55
7,6,2,1.7256758548934046e+59
8,6,2,1.728038873580093e+59
9,5,2,1.4625392818880804e+49
10,6,2,7.999511035354133e+55
11,5,2,1.4625332162420565e+49
12,5,2,2.389010962831318e+48
13,6,2,3.567108201544986e+54
14,6,2,1.2441361460192976e+46
15,5,2,2.1520594064752012e+54
16,6,2,1.7256492410786983e+59
17,6,2,2.9132987875631213e+53
18,7,2,3.567112979417103e+54
19,5,2,1.725640504926877e+59
20,6,2,1.2441361460192976e+46
21,6,2,2.520657479544114e+40
22,5,2,1.1784679115630553e+54
23,5,2,1.4625780250586012e+49
24,5,2,1.1784679115630553e+54
25,5,2,2.683828707846563e+49
26,6,2,5.91107134335682e+49
27,5,2,2.1520594063449837e+54
28,5,2,5.383056331089509e+38
29,7,2,5.383056333092291e+38
30,6,2,2.1520594064752032e+54
31,7,2,1.728038873580093e+59
32,6,2,1.4625332162420583e+49
33,5,2,1.8328301729177272e+44
34,4,2,3.917893780667022e+43
35,5,2,1.9590102025713445e+43
36,6,2,7.999511034841207e+55
37,5,2,1.1784679064431615e+54
38,5,2,1.1784679064431615e+54
39,5,2,5.830073139029595e+40
40,6,2,1.244130320870815e+46
41,5,2,1.244130320870815e+46
42,5,2,1.1784679064431615e+54
43,4,2,8.07405582559403e+35
44,6,2,1.725640512423931e+59
45,5,2,1.2441361459395342e+46
46,5,2,1.4625392818880804e+49
47,4,2,5.339112863963455e+38
48,5,2,1.4625332160540878e+49
49,5,2,1.1784679115630553e+54
50,5,2,3.7486037639474204e+50
51,6,2,5.383056331089194e+38
52,6,2,1.1784679115631946e+54
53,7,2,1.728038873907058e+59
54,6,2,5.383056333092328e+38
55,6,2,1.4625332162420565e+49
56,5,2,2.6838316698364144e+49
57,5,2,7.924212777870853e+43
58,5,2,5.8301527666209345e+40
59,6,2,1.7256475764626948e+59
