index,hight,width,estimate
60,5,2,1.4625392818880786e+49
61,4,2,5.119895665764638e+45
62,5,2,2.389010962831318e+48
63,6,2,1.2441361460192976e+46
64,6,2,3.7486549628953885e+50
65,6,2,1.1784679115631946e+54
66,6,2,6.020505927065547e+39
67,5,2,1.8328301807697277e+44
68,6,2,7.999511034841207e+55
69,5,2,3.748654961499992e+50
70,4,2,6.524876440013017e+43
71,6,2,2.6875587960969555e+49
72,6,2,1.4625332162420583e+49
73,6,2,2.1520594064752012e+54
74,4,2,8.119789425156643e+38
75,5,2,1.4625332160540878e+49
76,7,2,3.567108201544986e+54
77,5,2,2.9132987875631213e+53
78,4,2,5.119895665764638e+45
79,5,2,2.1520594063449837e+54
80,5,2,2.520623052758307e+40
81,4,2,6.524965338801385e+43
82,6,2,7.999473580980912e+55
83,6,2,3.567112979286882e+54
84,6,2,2.683828707846789e+49
85,6,2,7.999473580980912e+55
86,4,2,5.830073139029595e+40
87,4,2,8.119918318386619e+38
88,6,2,1.462578025058603e+49
89,5,2,1.7256405012020119e+59
90,5,2,5.3828916023131416e+38
91,7,2,1.728038873906904e+59
92,5,2,5.120035205290007e+45
93,6,2,1.1784679115631946e+54
94,6,2,7.999473580980912e+55
95,6,2,6.020542650612956e+39
96,6,2,3.7486549628953885e+50
97,5,2,1.4625392818880804e+49
98,6,2,3.567112979286882e+54
99,6,2,1.4625332160540878e+49
100,6,2,5.383056333092606e+38
101,5,2,2.913298787482451e+53
102,5,2,2.6838836747609424e+49
103,6,2,2.687558795588665e+49
104,5,2,1.244130320870815e+46
105,6,2,7.999511034841207e+55
106,5,2,2.520657479544114e+40
107,6,2,7.999511034841207e+55
108,5,2,1.725649241054809e+59
109,5,2,7.999473580980898e+55
110,6,2,2.1520594064752032e+54
111,6,2,5.383056331089271e+38
112,7,2,3.567112979286882e+54
113,7,2,3.567112979417103e+54
114,5,2,8.119918318386619e+38
115,5,2,1.4625332162420565e+49
116,5,2,6.524965338801385e+43
117,6,2,1.1784679115631946e+54
118,5,2,3.515717035350895e+35
119,7,2,2.6875587960971813e+49
120,4,2,6.524965338801385e+43
121,4,2,8.119789425156643e+38
122,5,2,3.567108201544984e+54
123,5,2,5.120035205290007e+45
124,4,2,1.8328301729177272e+44
125,5,2,7.924212744537545e+43
126,5,2,3.748654961499992e+50
127,7,2,5.911071343356823e+49
128,5,2,1.7256475764626928e+59
129,5,2,1.2441361459395342e+46
130,5,2,5.120035205290007e+45
131,5,2,2.6838286961866445e+49
132,6,2,2.1520594064752032e+54
133,7,2,7.999511035354146e+55
134,6,2,2.6838836747610997e+49
135,4,2,1.959003587342724e+43
136,4,2,6.524965338801385e+43
137,4,2,2.3889458539637187e+48
138,7,2,7.999511035354146e+55
139,5,2,1.8328301729177272e+44
140,5,2,3.7486037639474204e+50
141,5,2,5.8301527666209345e+40
142,7,2,3.567112979417103e+54
143,6,2,2.1520594064752012e+54
144,4,2,8.07405582559403e+35
145,4,2,8.119789425156643e+38
146,4,2,3.918000560005533e+43
147,6,2,5.383056333092368e+38
148,4,2,1.4625392818880786e+49
149,7,2,1.7256405124240847e+59
150,7,2,3.567112979417103e+54
151,6,2,1.2441361460192976e+46
152,5,2,5.383056331089231e+38
153,7,2,2.1520594064752032e+54
154,6,2,5.911071343006469e+49
155,4,2,5.119895665764638e+45
156,6,2,3.567112979417101e+54
157,5,2,5.3828916023129036e+38
158,6,2,3.567112979286882e+54
159,6,2,1.4625332162420583e+49
160,4,2,5.830073139029595e+40
161,4,2,2.683828690600005e+49
162,7,2,7.999511035354146e+55
163,6,2,1.4625332162420565e+49
164,7,2,6.020542650951527e+39
165,6,2,5.383056333092518e+38
166,7,2,1.4625332162420583e+49
167,5,2,1.4625332160540878e+49
168,4,2,6.524876440013017e+43
169,6,2,1.8328301807697277e+44
170,5,2,1.7256475764626948e+59
171,4,2,2.389010962831318e+48
172,6,2,3.567108201544986e+54
173,5,2,2.1520594064752012e+54
174,6,2,3.7486549628953885e+50
175,4,2,1.8328301729177272e+44
176,4,2,3.515717035350895e+35
177,6,2,1.7256758548935578e+59
178,6,2,5.382891602312826e+38
179,6,2,7.999511035354133e+55
180,5,2,3.748654961499992e+50
181,6,2,5.8301527666209345e+40
182,6,2,7.999511035354133e+55
183,5,2,1.4625392818880786e+49
184,6,2,1.4625332162420583e+49
185,5,2,2.3889458539637187e+48
186,4,2,5.339039965816019e+38
187,5,2,1.7256405012020119e+59
188,6,2,2.389010963720313e+48
189,5,2,1.244130320870815e+46
190,5,2,7.999473580980898e+55
191,6,2,5.3790032754466616e+45
192,5,2,5.378978090507806e+45
193,4,2,8.07405582559403e+35
194,6,2,3.567108201544984e+54
195,5,2,2.913298787482451e+53
196,6,2,1.7256405124240847e+59
197,6,2,5.3790032751018366e+45
198,4,2,2.913298787482451e+53
199,6,2,3.567112979417101e+54
200,5,2,5.8301527666209345e+40
201,6,2,3.567108201544984e+54
202,7,2,7.999511035354146e+55
203,4,2,2.3889458539637187e+48
204,5,2,8.07405582559403e+35
205,6,2,5.378978090507806e+45
206,6,2,3.567108201544986e+54
207,5,2,2.389010963720313e+48
208,5,2,7.999473580980898e+55
209,5,2,1.8328301807697277e+44
210,6,2,1.2441361459395342e+46
211,6,2,3.567112979286882e+54
212,5,2,2.9132987875631213e+53
213,6,2,7.999511035354133e+55
214,6,2,1.4625392818880804e+49
215,5,2,3.918000561463494e+43
216,5,2,2.1520594063449837e+54
217,6,2,3.7486549628953885e+50
218,5,2,2.9132987875631213e+53
219,5,2,5.3828916023130525e+38
220,7,2,3.567112979417101e+54
221,5,2,3.7486037639474204e+50
222,5,2,1.1784679064431615e+54
223,5,2,1.2441361459395342e+46
224,6,2,2.1520594063449837e+54
225,5,2,3.567108201544984e+54
226,6,2,1.725640504926877e+59
227,5,2,2.389010963720313e+48
228,6,2,3.567112979417101e+54
229,6,2,7.924212777870853e+43
230,5,2,2.389010963720313e+48
231,5,2,5.120035205290007e+45
232,7,2,1.7256758548935578e+59
233,7,2,5.3790032754466616e+45
234,6,2,2.1520594064752032e+54
235,7,2,7.999511035354146e+55
236,4,2,8.119918318386619e+38
237,7,2,3.567112979417101e+54
238,6,2,3.567108201544986e+54
239,4,2,8.119918318386619e+38
240,5,3,5.120035205290007e+45
241,4,3,1.6674218621166368e+38
242,4,3,1.5418345207960588e+49
243,5,3,1.1603550365619324e+49
244,4,3,8.07405582559403e+35
245,5,3,1.8328301807697277e+44
246,4,3,1.4043069797919535e+41
247,4,3,1.1784679064973673e+54
248,6,3,5.3790032754466705e+45
249,5,3,5.3790032751018455e+45
250,6,3,7.999511034841207e+55
251,5,3,1.667485331706009e+38
252,4,3,2.520623052758344e+40
253,4,3,1.462539281700109e+49
254,4,3,2.9132987868314057e+53
255,5,3,2.520657480482405e+40
256,5,3,1.6676484791296829e+38
257,5,3,3.567108201414766e+54
258,4,3,1.6674853310856562e+38
259,6,3,1.6674853317059315e+38
260,5,3,1.6674218621164098e+38
261,5,3,7.963298630411645e+35
262,5,3,1.5418345207960606e+49
263,4,3,6.511033370576276e+43
264,5,3,5.120104224192947e+45
265,4,3,3.74860376255208e+50
266,4,3,1.462539281700109e+49
267,4,3,3.74860376255208e+50
268,3,3,5.339022032584088e+38
269,4,3,3.442959971697635e+35
270,5,3,2.1520594063449837e+54
271,4,3,1.667421862116448e+38
272,5,3,2.1520594064752012e+54
273,5,3,1.462539281700109e+49
274,4,3,1.112967206190268e+34
275,5,3,6.511033370576276e+43
276,4,3,1.9589501974932396e+43
277,5,3,3.748654961499992e+50
278,6,3,2.1350787143565314e+43
279,4,3,1.462539281700109e+49
280,5,3,1.4625780248706296e+49
281,5,3,1.72564924105482e+59
282,4,3,7.924212744537545e+43
283,5,3,3.748654961499992e+50
284,4,3,1.4043069797919535e+41
285,5,3,5.8301527666209345e+40
286,3,3,5.339039965816019e+38
287,6,3,3.567112979417101e+54
288,4,3,1.4043069797919535e+41
289,5,3,1.6674853317062471e+38
290,3,3,6.510944471307473e+43
291,4,3,1.6674853310854673e+38
292,4,3,6.524965338801385e+43
293,4,3,2.9132987868314057e+53
294,4,3,2.389010962831318e+48
295,4,3,2.913298787482451e+53
296,4,3,2.389010962831318e+48
297,4,3,1.667485331085745e+38
298,4,3,1.4043069797919535e+41
299,5,3,7.999511034841312e+55
300,6,3,1.6676484797502024e+38
301,4,3,1.7256434144670723e+59
302,6,3,1.7256522856963834e+59
303,5,3,1.1784679064431615e+54
304,4,3,1.8328301729177272e+44
305,5,3,2.389010963720313e+48
306,5,3,1.6674853317059696e+38
307,4,3,5.1199646827623336e+45
308,5,3,1.244130320870815e+46
309,4,3,5.1199646827623336e+45
310,4,3,5.1199646827623336e+45
311,6,3,3.567112979286882e+54
312,4,3,5.339130891270973e+38
313,6,3,3.7486549628953885e+50
314,5,3,2.1520594063449837e+54
315,4,3,1.667421862116487e+38
316,5,3,3.567108201414766e+54
317,5,3,7.924212777871791e+43
318,4,3,5.830073139029595e+40
319,5,3,3.567108201544984e+54
320,5,3,1.7256434144909613e+59
321,5,3,3.567108201414766e+54
322,5,3,1.1603550367220933e+49
323,5,3,2.9132987868314057e+53
324,4,3,5.119895665764638e+45
325,5,3,2.683847018407971e+49
326,4,3,7.963298630411645e+35
327,3,3,8.119789425156643e+38
328,4,3,1.112967206190268e+34
329,4,3,7.963298630411645e+35
330,5,3,1.1784679115630553e+54
331,4,3,6.524876440013017e+43
332,5,3,5.3789780905078156e+45
333,4,3,7.924212744173525e+43
334,5,3,2.1520594064752012e+54
335,6,3,2.1520594064752032e+54
336,5,3,5.120104224192947e+45
337,5,3,7.999511034841312e+55
338,5,3,7.999511034841312e+55
339,5,3,3.567108201544984e+54
340,5,3,5.120104224192947e+45
341,5,3,1.1784679115630553e+54
342,4,3,1.5418345206007926e+49
343,4,3,3.74860376255208e+50
344,4,3,6.524876440013017e+43
345,5,3,1.4625332160540878e+49
346,5,3,1.6675850076351967e+38
347,5,3,7.999473580980898e+55
348,4,3,2.3889458539637187e+48
349,4,3,5.830073139029595e+40
350,5,3,3.442866141283547e+35
351,4,3,1.4625392818880786e+49
352,4,3,3.442866141283547e+35
353,5,3,1.6674853317061583e+38
354,3,3,6.510944471307473e+43
355,5,3,1.6674853310854293e+38
356,3,3,7.313229493643457e+33
357,4,3,1.1784679064973673e+54
358,6,3,3.567108201544986e+54
359,4,3,7.303871209852657e+33
360,4,3,2.520623053696598e+40
361,5,3,1.7256405012020099e+59
362,5,3,3.567108201414766e+54
363,6,3,1.1784679115631946e+54
364,4,3,3.5158108644838596e+35
365,6,3,1.1603550367220948e+49
366,5,3,2.1350436077972788e+43
367,4,3,8.119918318386619e+38
368,4,3,5.1199646827623336e+45
369,4,3,2.913298787482451e+53
370,5,3,3.7486037639474204e+50
371,5,3,1.1784679064973673e+54
372,4,3,7.963298630411645e+35
373,4,3,6.511033370576276e+43
374,5,3,3.7486037639474204e+50
375,5,3,5.3828916023128636e+38
376,3,3,1.112967206190268e+34
377,5,3,1.725640512423944e+59
378,4,3,1.4625392818880786e+49
379,5,3,1.7256522856963834e+59
380,4,3,2.683828696186419e+49
381,6,3,3.567108201414766e+54
382,5,3,1.4625332162420565e+49
383,3,3,1.112967206190268e+34
384,5,3,1.6674853310855066e+38
385,6,3,7.999473580980912e+55
386,4,3,2.9132987868314057e+53
387,5,3,1.4625392818880804e+49
388,4,3,1.6674218621167256e+38
389,6,3,7.999511035354133e+55
390,5,3,2.9132987875631213e+53
391,5,3,7.999473580980898e+55
392,3,3,8.119789425156643e+38
393,5,3,5.3830563310894205e+38
394,5,3,5.120104224192947e+45
395,4,3,6.511033370576276e+43
396,5,3,1.2441361459395342e+46
397,4,3,1.1784679064973673e+54
398,5,3,7.999511034841312e+55
399,5,3,1.7256758549331954e+59
400,4,3,3.74860376255208e+50
401,5,3,2.1350787138771978e+43
402,5,3,5.379003275101915e+45
403,4,3,5.119895665764638e+45
404,6,3,1.7280388739069164e+59
405,4,3,6.510944471307473e+43
406,4,3,2.3889458539637187e+48
407,4,3,5.339112957792904e+38
408,4,3,6.510944471307473e+43
409,3,4,7.303871209852764e+33
410,3,4,1.112967206190268e+34
411,3,4,8.911762205092059e+38
412,3,4,8.911762205092059e+38
413,3,4,8.911762205092059e+38
414,4,4,8.469868724421722e+42
415,4,4,3.74860376255208e+50
416,4,4,1.7256434144670827e+59
417,4,4,6.511033370576276e+43
418,4,4,1.4043069797919535e+41
419,5,4,3.567108201414766e+54
420,4,4,1.1784679064973673e+54
421,5,4,7.999511034841312e+55
422,4,4,7.963298630411645e+35
423,5,4,8.469868727573517e+42
424,4,4,1.462539281700109e+49
425,4,4,2.9132987868314057e+53
426,3,4,6.510944471307473e+43
427,4,4,8.911762205092059e+38
428,4,4,5.1199646827623336e+45
429,4,4,8.469637889203332e+42
430,5,4,5.120104224192947e+45
431,3,5,8.911762205092059e+38
359,409,356

