thread,DuckDB native,DuckDB Yannakakis+,PostgreSQL native,PostgreSQL Yannakakis+
0.1,0.168,0.066,0.513449,0.50901
1,0.427,0.157,5.841388,3.412777
3,0.909,0.253,19.794,10.488
10,3.649,0.755,73.643505,36.881
30,6.268,0.974,376.308305,85.337306
10,0.354,0.148,2.148,2.116
20,0.735,0.35,4.584,4.506
30,0.95,0.382,7.237,7.135
40,1.148,0.469,8.586,8.461
50,1.783,0.676,12.282,11.616
